map,ping,kills,assists,deaths,mvps,hs_percent,points,result,kd_ratio,hs_efficiency,impact_score,kast_approx
0,1.0,0.5892857142857142,0.16666666666666666,0.7446808510638298,0.3333333333333333,0.08547008547008547,0.569620253164557,0,0.4243334334434544,0.09032943676939426,0.4008409250175193,0.4261274420303086
0,1.0,0.4464285714285714,0.3333333333333333,0.8723404255319148,0.3333333333333333,0.0,0.5063291139240507,1,0.2839289885540761,0.0,0.30463910301331465,0.3188973178302169
0,0.4632152588555858,0.5178571428571428,0.25,0.6170212765957447,0.5,0.4444444444444445,0.46835443037974683,0,0.43681382854473255,0.41445270988310307,0.47468004278390435,0.47053587730509405
0,0.5068119891008174,0.4107142857142857,0.16666666666666666,0.4893617021276596,0.3333333333333333,0.27350427350427353,0.37974683544303794,1,0.41934127540294325,0.20403825717321997,0.4258934828311142,0.4399093702190352
0,0.5122615803814714,0.9999999999999999,0.41666666666666663,0.7021276595744681,0.8333333333333333,0.5128205128205129,1.0,2,0.8648913805185703,1.0,0.8684886708712917,0.7461744410796244
0,0.47956403269754766,0.4464285714285714,0.16666666666666666,0.5744680851063829,0.16666666666666666,0.6495726495726496,0.43037974683544306,1,0.4008409250175192,0.5249734325185973,0.3563030444600171,0.4150253332116123
1,0.48501362397820164,0.6607142857142856,0.41666666666666663,0.8723404255319148,0.3333333333333333,0.25641025641025644,0.6582278481012658,1,0.4149731371174959,0.3028692879914984,0.4088577435178697,0.47053587730509405
0,0.44686648501362397,0.5892857142857142,0.08333333333333333,0.9148936170212766,0.0,0.5982905982905984,0.46835443037974683,1,0.3564400840925018,0.6323060573857598,0.26979677645409955,0.32595027408486243
0,0.6103542234332425,0.8749999999999999,0.8333333333333333,0.36170212765957444,0.6666666666666666,0.27350427350427353,0.8860759493670886,0,0.9999999999999999,0.4250797024442083,1.0,0.905171626802994
0,0.48501362397820164,0.4464285714285714,0.08333333333333333,0.5744680851063829,0.0,1.0,0.3924050632911392,1,0.4008409250175192,0.8427205100956429,0.30063069376313944,0.3845840670958319
1,0.47411444141689374,0.5892857142857142,0.3333333333333333,0.36170212765957444,0.5,0.8034188034188035,0.5569620253164557,0,0.7425835085260453,0.8490967056323061,0.7708479327259986,0.7127637060766508
2,1.0,0.5178571428571428,0.08333333333333333,0.36170212765957444,0.5,0.0,0.45569620253164556,0,0.6552207428170987,0.0,0.6629292221443588,0.5974171209473381
2,1.0,0.26785714285714285,0.16666666666666666,0.6170212765957447,0.0,0.0,0.27848101265822783,1,0.23296737522385733,0.0,0.18987201711356175,0.21677339002060592
0,0.5994550408719346,0.9107142857142856,0.5,0.7021276595744681,1.0,0.23931623931623935,0.8987341772151899,1,0.6814295725297828,0.38682252922422955,0.7825941869389662,0.6754978862656423
2,1.0,0.4464285714285714,0.41666666666666663,0.7872340425531915,0.16666666666666666,0.5128205128205129,0.4430379746835443,0,0.3097407147862649,0.41445270988310307,0.3049876603394169,0.38171900675552317
1,0.44686648501362397,0.5892857142857142,0.3333333333333333,0.6595744680851063,0.5,0.18803418803418806,0.5443037974683544,0,0.4690001106480286,0.19872476089266738,0.5010511562718991,0.5149443125798795
1,0.773841961852861,0.48214285714285715,0.3333333333333333,0.36170212765957444,0.5,0.35897435897435903,0.45569620253164556,0,0.6115393599626255,0.31243358129649307,0.6783461807988788,0.6481696184042357
0,0.4632152588555858,0.5178571428571428,0.5833333333333333,0.4042553191489362,0.5,0.22222222222222224,0.5443037974683544,0,0.6048191472157834,0.20722635494155153,0.7014716187806588,0.6989221158611335
1,1.0,0.4464285714285714,0.16666666666666666,0.19148936170212766,0.16666666666666666,0.25641025641025644,0.37974683544303794,0,0.8517869656622284,0.20722635494155153,0.7126060889200342,0.7408480920211794
1,0.45776566757493187,0.5178571428571428,0.25,0.7021276595744681,0.16666666666666666,0.4444444444444445,0.5443037974683544,1,0.3931324456902593,0.41445270988310307,0.3531217672773384,0.42379015596321457
2,0.5722070844686649,0.5535714285714285,0.41666666666666663,0.36170212765957444,0.5,0.9401709401709403,0.5316455696202531,0,0.698902125671572,0.9351753453772583,0.7554309740714786,0.7127637060766508
0,0.47956403269754766,0.6607142857142856,0.5,0.4893617021276596,0.3333333333333333,0.25641025641025644,0.569620253164557,0,0.6639570193879933,0.3028692879914984,0.6513665031534688,0.6925780536790213
2,0.5340599455040872,0.375,0.41666666666666663,0.7446808510638298,0.6666666666666666,0.15384615384615385,0.5569620253164557,1,0.2745686922281176,0.10520722635494155,0.39173090399439386,0.3505130792651334
0,0.5013623978201635,0.7678571428571428,0.16666666666666666,0.14893617021276595,0.8333333333333333,0.3076923076923077,0.5949367088607594,0,0.9999999999999999,0.4208289054197662,1.0,0.9575961351575794
0,0.47411444141689374,0.33928571428571425,0.16666666666666666,0.7872340425531915,0.3333333333333333,0.17094017094017094,0.3291139240506329,1,0.2382620882971268,0.10626992561105207,0.261417994576643,0.2093097874534151
0,0.5068119891008174,0.7321428571428571,0.5,0.6170212765957447,0.5,0.23931623931623935,0.7088607594936709,0,0.6115393599626255,0.31243358129649307,0.6329067237118725,0.6481696184042357
0,0.49046321525885556,0.4107142857142857,0.5833333333333333,0.3191489361702128,0.3333333333333333,0.8547008547008548,0.4430379746835443,0,0.5718290119131043,0.6376195536663124,0.6513665031534688,0.707380865437283
